Response ID,What year were you born?,What is your gender?,Which of the following best describes your industry?,Which of the following best describes your industry? (Detailed),Which of the following best describes your current occupation?,Which of the following best describes your current occupation? (Detailed),How many people are currently employed by your organisation?,Do you manage people as part of your current occupation?,Which of the following best describes your household?,How long have you been in your current job?,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,,,,
104,1960,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,90%,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,,,,
105,1961,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,10%,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,
106,1959,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,70%,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
107,1968,Male,Public Administration and Safety,Public Administration,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,60%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
108,1969,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,80%,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,
109,1968,Male,"Transport, Postal and Warehousing",Water Transport,Sales ,Sales Representatives and Agents,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,10%,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,,,,
110,1990,Male,Accommodation and Food Services,Accommodation,Managers,"Hospitality, Retail and Service Managers",Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
111,1960,Male,Other Services,Personal and Other Services,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
112,1994,Female,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,No,Group household,Between 6 and 12 months,Metro,20%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
113,1959,Male,Information Media and Telecommunications,Telecommunications Services,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
114,1990,Male,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,,,,
115,1960,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,50%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,
116,1962,Male,Information Media and Telecommunications,Publishing (except Internet and Music Publishing),Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,60%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,
117,1972,Male,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,40%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,,,
118,1957,Male,Retail Trade,Other Store-Based Retailing,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,
119,1964,Male,Retail Trade,Other Store-Based Retailing,Managers,"Chief Executives, General Managers and Legislators",Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
120,1970,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,50%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,
121,1962,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Professionals,ICT Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
122,1959,Male,Health Care and Social Assistance,Hospitals,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
123,1963,Male,Manufacturing,Machinery and Equipment Manufacturing,Managers,Specialist Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,10%,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,,,
124,1970,Male,Retail Trade,Other Store-Based Retailing,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
125,1963,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Managers,"Hospitality, Retail and Service Managers",Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,10%,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,,,,
126,1964,Male,"Transport, Postal and Warehousing",Transport Support Services,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,60%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
127,1965,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,Between 1 and 4,No,Couple with dependent children,More than 5 years,Metro,10%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
128,1983,Female,Arts and Recreation Services,Sports and Recreation Activities,Clerical and administrative ,Numerical Clerks,More than 200,No,Single person,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,
129,1965,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Office Managers and Program Administrators,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,50%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,,,
130,1980,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Other Clerical and Administrative ,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
131,1988,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,90%,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
132,1955,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
133,1974,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,No,Couple with dependent children,More than 5 years,Metro,10%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,
134,1981,Male,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Managers,Specialist Managers,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
135,1977,Male,Information Media and Telecommunications,Telecommunications Services,Professionals,"Design, Engineering, Science and Transport Professionals",Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,,,,
136,1967,Male,Public Administration and Safety,Public Administration,Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,
137,1966,Female,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Labourers,Other Labourers,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro,100%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,
138,1958,Male,Other Services,Personal and Other Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,
139,1995,Female,Education and Training,Preschool and School Education,Professionals,Arts and Media Professionals,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
140,1971,Female,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Sales ,Sales Support ,Between 20 and 199,No,One  parent family with dependent children,Between 1 and 5 years,Metro,100%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
141,1961,Female,Financial and Insurance Services,Finance,Professionals,Education Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,20%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
142,1982,Female,Other Services,Personal and Other Services,Community and personal service ,Sports and Personal Service ,I am the only employee,No,Couple with no dependent children,More than 5 years,Metro,100%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,,,,
143,1977,Female,Health Care and Social Assistance,Social Assistance Services,Professionals,"Legal, Social and Welfare Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Regional,10%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
144,1991,Female,Retail Trade,Other Store-Based Retailing,Sales ,Sales Representatives and Agents,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
145,1977,Female,Construction,Construction Services,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
146,1989,Female,Education and Training,Tertiary Education,Professionals,Education Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,100%,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,,,,
147,1973,Female,Mining,Coal Mining,Professionals,"Business, Human Resource and Marketing Professionals",I am the only employee,Yes,One  parent family with dependent children,More than 5 years,Regional,100%,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,,,,
